line,dag_mean,dag_std,ratio_act8_flc_mean,deltaC_mean_mean,deltaC_mean_std,deltaC_mean_count,C_mean_mean,C_mean_std,C_mean_count,deltaN_mean_mean,deltaN_mean_std,deltaN_mean_count,N_mean_mean,N_mean_std,N_mean_count,CN_ratio_mean,CN_ratio_std,CN_ratio_count,label,hsd_test_early_flow
WT-ID9323,97.28571428571428,34.40791713987875,115.84146373362762,-30.389999999999997,0.4253234063627337,3,29.133333333333336,6.715901527965799,3,1.1866666666666668,0.24006943440041123,3,5.63,1.3251037695214667,3,5.179921710210407,0.07444771542074802,3,wt,
WT-ID9407,60.4,12.029593139882625,174.64850235123276,-30.486666666666668,0.1193035344544882,3,34.36666666666667,0.3055050463303906,3,0.8300000000000001,0.6009991680526687,3,6.25,0.13999999999999982,3,5.499845869296112,0.08228285946222759,3,wt,
WT-ID9421,96.27272727272728,25.132015076753827,142.04621679816862,-29.439999999999998,0.1969771560359206,3,32.53333333333333,0.6027713773341732,3,4.676666666666667,0.6017751518078271,3,6.303333333333334,0.045092497528228866,3,5.161752677613914,0.12184411301735312,3,wt,
WT-ID9569,48.0,2.8919952219248857,93.40211203021794,-30.653333333333336,0.04932882862316337,3,32.199999999999996,0.1999999999999984,3,0.6666666666666666,0.8000208330620731,3,6.5,0.16522711641858356,3,4.955483459158795,0.09744792103117503,3,wt,
WT-ID9582,49.81818181818182,8.874887963441363,275.23615723066865,-29.44333333333333,0.08386497083606029,3,32.300000000000004,0.6244997998398369,3,4.0633333333333335,0.6390878917123476,3,6.3,0.1044030650891055,3,5.126887918483144,0.033782606188966245,3,wt,
WT-ID9583,63.16666666666666,3.2983007562664577,217.89288930894932,-30.310000000000002,0.2858321185591301,3,31.400000000000002,0.6244997998398412,3,0.9466666666666668,0.4215843134336635,3,6.41,0.19078784028338933,3,4.899593021059414,0.05383975967333997,3,wt,
WT-ID9644,37.6,7.275529763071095,63.8701260461259,-30.14333333333333,0.5000333322222951,3,33.3,0.45825756949558527,3,0.34333333333333327,0.2400694344004112,3,6.45,0.0916515138991172,3,5.16416502149037,0.14508104188558762,3,wt,
WT-ID9729,123.14285714285714,3.7606990231680535,148.55002276719406,-30.956666666666667,0.29501412395567334,3,33.4,0.6082762530298219,3,3.856666666666667,0.8640794716536978,3,6.476666666666667,0.11590225767142426,3,5.158909619546506,0.17461038445756422,3,wt,
WT-ID9736,39.22222222222222,5.1908038341324785,96.61489737625799,-30.349999999999998,0.1126942766958461,3,32.7,0.1999999999999975,3,1.7433333333333334,0.5073788853838258,3,6.476666666666667,0.11060440015358008,3,5.050088332770394,0.10809825257496752,3,wt,
WT-ID9738,40.09090909090909,3.3001377381723165,169.6830568676474,-30.366666666666664,0.280059517483931,3,33.56666666666667,0.8386497083606075,3,0.9733333333333333,0.6950059951779791,3,6.333333333333333,0.10969655114602912,3,5.300372142477406,0.12388283038523179,3,wt,
WT-ID9755,67.75,8.203380677833657,226.07043345254482,-30.063333333333333,0.3181718613160717,3,33.666666666666664,1.6441816606851352,3,4.47,0.18681541692269416,3,5.93,0.11269427669584647,3,5.681150576631551,0.3607375589958116,3,wt,
WT-ID9908,54.16666666666666,8.663752423783015,162.64227366848263,-30.013333333333332,0.20984120980716073,3,32.9,0.10000000000000142,3,6.2,2.6071248531667988,3,5.95,0.22869193252058526,3,5.535309691924712,0.2305489509410832,3,wt,
