pk,name,country,latitude,longitude,collector,collection_date,cs_number,species
272,TOU-A1-104,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
273,TOU-A1-105,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
274,TOU-A1-106,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
275,TOU-A1-109,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
276,TOU-A1-110,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
277,TOU-A1-111,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
278,TOU-A1-112,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
279,TOU-A1-113,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
280,TOU-A1-114,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
281,TOU-A1-115,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
282,TOU-A1-116,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
283,TOU-A1-117,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
284,TOU-A1-118,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
285,TOU-A1-119,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
286,TOU-A1-12,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
287,TOU-A1-120,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
288,TOU-A1-122,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
289,TOU-A1-123,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
290,TOU-A1-124,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
291,TOU-A1-125,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
292,TOU-A1-128,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
293,TOU-A1-129,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
294,TOU-A1-13,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
295,TOU-A1-131,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
296,TOU-A1-133,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
297,TOU-A1-134,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
298,TOU-A1-137,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
299,TOU-A1-138,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
300,TOU-A1-14,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
301,TOU-A1-141,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
302,TOU-A1-143,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
303,TOU-A1-15,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
304,TOU-A1-16,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
305,TOU-A1-17,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
306,TOU-A1-18,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
307,TOU-A1-19,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
308,TOU-A1-2,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
309,TOU-A1-23,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
310,TOU-A1-26,France,46.6667,4.11667,Fabrice Roux,,,Arabidopsis thaliana
