paper	phenotype	numaccessions	phenotypecategory	stressstrategy
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	PR_plus_LRtot_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_to_PR_DhighN_vs_lowN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_to_PR_highN	82	Development	Avoidance
Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603	SA_to_PR_lowN	82	Development	Avoidance
Borevitz_Li_Genetics_2014_PID_24281156	DTF_Oct_2010	422	Reproduction	Escape
Borevitz_Li_Genetics_2014_PID_24281156	DTF_Oct_2040	427	NA	NA
Borevitz_Li_Genetics_2014_PID_24281156	DTF_Sep_2010	362	Reproduction	Escape
Borevitz_Li_Genetics_2014_PID_24281156	DTF_Sep_2040	367	NA	NA
Borevitz_Li_PNAS_2010_PID_21078970	108_Area_sweden_2009_1st_experiment	445	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	109_SizePlantingSummer2009	437	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	110_Size_sweden_2009_2nd_experiment	418	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	111_SizePlantingSummerLocSweden2009	407	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	112_Area_sweden_2009_2nd_experiment	462	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	113_DTF_sweden_2008_1st_experiment	353	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	114_Yield_sweden_2009_2nd_experiment	323	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	115_SizeLocSweden2009	457	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	116_DTFplantingSummerLocSweden2009	466	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	117_DTFlocSweden2008	352	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	118_DTFlocSweden2009	467	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	119_DTF_spain_2009_1st_experiment	468	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	120_DTFplantingLoc2008	351	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	121_DTF_spain_2009_2nd_experiment	468	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	122_Yield_spain_2009_2nd_experiment	337	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	123_Size_sweden_2009_1st_experiment	458	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	124_Yield_spain_2009_1st_experiment	384	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	125_DTFmainEffect2009	468	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	126_DTFmainEffect2008	352	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	127_Size_spain_2009_2nd_experiment	432	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	128_Size_spain_2009_1st_experiment	463	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	129_DTFplantingSummer2009	466	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	130_DTFplantingSummer2008	352	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	131_SizeMainEffect2009	466	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	132_DTF_spain_2008_1st_experiment	353	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	133_YieldPlantingSummer2009	384	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	134_DTF_sweden_2009_1st_experiment	467	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	135_YieldLocSweden2009	422	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	136_DTF_spain_2008_2nd_experiment	352	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	137_YieldMainEffect2009	454	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	138_YieldPlantingSummerLocSweden2009	355	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	139_Yield_sweden_2009_1st_experiment	389	Development	NA
Borevitz_Li_PNAS_2010_PID_21078970	140_DTF_sweden_2009_2nd_experiment	468	Reproduction	Escape
Borevitz_Li_PNAS_2010_PID_21078970	141_DTF_sweden_2008_2nd_experiment	353	Reproduction	Escape
Botto_Ibarra_PlaCelEnv_2016_PID_26177669	D2_entrance_per	133	Development	Escape
Botto_Ibarra_PlaCelEnv_2016_PID_26177669	GEMINATION_4D_per	133	Development	Escape
Botto_Ibarra_PlaCelEnv_2016_PID_26177669	GERMINATION_1D_per	133	Development	Escape
Brady_Toal_G3_2018_PID_30322904	Direction_index	255	Development	Avoidance
Brady_Toal_G3_2018_PID_30322904	Root_angle	255	Development	Avoidance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0557	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0570	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0596	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0662	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0674	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0704	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0705	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0734	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0790	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_0928	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1008	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1036	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1057	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1092	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1111	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1125	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1142	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1201	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1213	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1260	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1295	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1334	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1379	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1383	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1393	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1422	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1427	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1433	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1474	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1542	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1548	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_1971	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	NC_2426	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0435	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0441	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0446	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0448	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0451	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0454	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0455	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0490	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0499	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0500	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0506	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0512	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0526	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0544	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0546	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0552	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0558	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0570	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0601	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0615	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0626	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0631	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0633	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0635	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0638	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0642	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0658	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0673	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0684	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0688	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0709	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0712	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0785	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0846	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0858	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0866	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_0932	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1145	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1181	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1237	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1246	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1248	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1265	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1274	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1322	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1401	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1410	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1435	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1465	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1490	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1491	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1493	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1528	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1533	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1732	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1734	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1755	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1782	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1857	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1976	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_1998	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_2045	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_2372	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_2395	301	Metabolite	Tolerance
Brotman_Wu_MolPlant_2018_PID_28866081	PC_2413	301	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met01	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met02	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met03	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met04	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met05	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met06	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met07	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met08	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met09	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met10	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met11	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met12	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met13	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met14	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met15	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met16	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met17	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met18	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met19	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met20	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met21	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met22	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met23	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met24	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met25	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met26	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met27	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met28	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met29	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met30	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met31	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met32	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met33	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met34	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met35	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met36	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met37	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met38	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met39	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met40	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met41	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met42	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met43	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met44	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met45	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met46	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met47	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met48	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met49	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met50	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met51	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met52	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met53	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met54	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met55	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met56	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met57	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met58	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met59	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met60	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met61	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met62	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met63	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met64	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met65	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met66	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met67	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met68	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met69	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met70	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met71	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met72	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met73	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met74	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met75	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met76	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met77	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met78	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met79	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met80	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met81	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met82	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met83	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met84	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met85	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met86	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met87	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met88	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met89	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met90	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met91	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met92	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met93	313	Metabolite	Tolerance
Brotman_Wu_PlosGen_2016_PID_27760136	met94	313	Metabolite	Tolerance
Busch_Meijn_NatGen_2014_PID_24212884	142_Mature_cell_length	201	Metabolite	Avoidance
Busch_Meijn_NatGen_2014_PID_24212884	143_Meristem_zone_length	201	Metabolite	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LR.no_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LR.no_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LR.no_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LR.no_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_P_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_P_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_P_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_P_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_R_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_R_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_R_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRD_R_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRL_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRL_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRL_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRL_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRR_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRR_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRR_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	LRR_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P2_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P2_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P2_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	P2_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	R_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	R_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	R_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	R_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TLRL_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TLRL_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TLRL_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TLRL_IAA	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TRL_ABA	191	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TRL_C	190	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TRL_CK	192	Development	Avoidance
Busch_Ristova_PlantJ_2018_PID_30030851	TRL_IAA	190	Development	Avoidance
Busch_Satbhai_NatCommun_2017_PID_28537266	289_Root_length_Day_1	133	Development	Avoidance
Busch_Satbhai_NatCommun_2017_PID_28537266	290_Root_length_Day_2	134	Development	Avoidance
Busch_Satbhai_NatCommun_2017_PID_28537266	291_Root_length_Day_3	132	Development	Avoidance
Busch_Satbhai_NatCommun_2017_PID_28537266	292_Root_length_Day_4	126	Development	Avoidance
Busch_Satbhai_NatCommun_2017_PID_28537266	293_Root_length_Day_5	131	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_avg	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_day001	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_day002	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_day003	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_day004	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Average_root_width_day005	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Euclidian_length_day001	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Euclidian_length_day002	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Euclidian_length_day003	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Euclidian_length_day004	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Euclidian_length_day005	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Relative_root_growth_rate_avg	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Relative_root_growth_rate_day001.day002	162	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Relative_root_growth_rate_day002.day003	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Relative_root_growth_rate_day003.day004	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Relative_root_growth_rate_day004.day005	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Root_angle_avg	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Root_angle_day001	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Root_angle_day002	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Root_angle_day003	163	Development	Avoidance
Busch_Slovak_PlantCell_2014_PID_24920330	Root_angle_day004	163	Development	Avoidance
