id	name	country	latitude	longitude	cs_number	RegMap	G1001
6951	Pu2-23	Czech Republic	49.42	16.36	CS76579	TRUE	TRUE
6953	Pu2-24	Czech Republic	49.42	16.36		TRUE	FALSE
6954	Pu2-32	Czech Republic	49.42	16.36		FALSE	FALSE
6955	Pu2-5	Czech Republic	49.42	16.36		FALSE	FALSE
6956	Pu2-7	Czech Republic	49.42	16.36	CS76580	TRUE	TRUE
6957	Pu2-8	Czech Republic	49.42	16.36	CS77192	TRUE	TRUE
6958	Ra-0	France	46	3.3	CS76582	TRUE	TRUE
6959	Rennes-1	France	48.5	-1.41	CS77210	TRUE	TRUE
6960	Rennes-11	France	48.5	-1.41	CS77211	TRUE	TRUE
6961	Se-0	Spain	38.3333	-3.53333	CS76597	TRUE	TRUE
6962	Shahdara	Tajikistan	38.35	68.48		TRUE	FALSE
6963	Sorbo	Tajikistan	38.35	68.48	CS78917	TRUE	TRUE
6964	Spr1-2	Sweden	56.31635	16.03529		TRUE	FALSE
6965	Spr1-6	Sweden	56.31635	16.03529		TRUE	FALSE
6966	Sq-1	UK	51.4083	-0.6383	CS77266	TRUE	TRUE
6967	Sq-8	UK	51.4083	-0.6383	CS76604	TRUE	TRUE
6968	Tamm-2	Finland	60	23.5	CS76610	TRUE	TRUE
6969	Tamm-27	Finland	60	23.5	CS77341	TRUE	TRUE
6970	Ts-1	Spain	41.7194	2.93056	CS76615	TRUE	TRUE
6971	Ts-5	Spain	41.7194	2.93056	CS77388	TRUE	TRUE
6972	Tsu-1	Japan	34.43	136.31		TRUE	FALSE
6973	Ull2-3	Sweden	56.0648	13.9707	CS78817	TRUE	TRUE
6974	Ull2-5	Sweden	56.0648	13.9707	CS78818	TRUE	TRUE
6975	Uod-1	Austria	48.3	14.45	CS76621	TRUE	TRUE
6976	Uod-7	Austria	48.3	14.45	CS78823	TRUE	TRUE
6977	Van-0	Canada	49.3	-123		TRUE	FALSE
6978	Wa-1	Poland	52.3	21		TRUE	FALSE
6979	Wei-0	SUI	47.25	8.26	CS76628	TRUE	TRUE
6980	Ws-0.1	Russia	52.3	30		TRUE	FALSE
6981	Ws-2	Russia	52.3	30	CS78920	TRUE	TRUE
6982	Wt-5	GER	52.3	9.3	CS76632	TRUE	TRUE
6983	Yo-0	US	37.45	-119.35		TRUE	FALSE
6984	Zdr-1	Czech Republic	49.3853	16.2544	CS76635	TRUE	TRUE
6985	Zdr-6	Czech Republic	49.3853	16.2544		TRUE	FALSE
6986	Abd-0	UK	57.1539	-2.2207	CS76429	FALSE	TRUE
6987	Ak-1	GER	48.0683	7.62551	CS76431	TRUE	TRUE
6988	Alc-0	Spain	40.49	-3.36		TRUE	FALSE
6989	Alst-1	UK	54.8	-2.4333	CS76432	TRUE	TRUE
