name	pve	se_pve
LRL_IAA	0.999986	0.00238735
LRR_ABA	0.999986	0.00054627
LRR_C	0.94304	0.0736635
LRR_CK	0.999986	0.000560954
LRR_IAA	0.245851	0.414707
P_ABA	0.999986	0.000591816
P_C	0.562252	0.290264
P_CK	0.936989	0.0731678
P_IAA	0.999986	0.00104842
P2_ABA	0.978664	0.0473992
P2_C	0.257129	0.337283
P2_CK	0.999986	0.000553134
P2_IAA	0.0243488	0.43508
R_ABA	0.999986	0.000555108
R_C	0.104671	0.290191
R_CK	0.261563	0.429162
R_IAA	0.999986	0.00199417
TLRL_ABA	0.999986	0.000925766
TLRL_C	0.850908	0.130985
TLRL_CK	0.999986	0.000561997
TLRL_IAA	0.659638	0.517116
TRL_ABA	0.999986	0.000756785
TRL_C	0.64425	0.226084
TRL_CK	0.971268	0.0565263
TRL_IAA	0.999986	0.000971404
289_Root_length_Day_1	0.996321	0.106282
290_Root_length_Day_2	0.224674	0.155343
291_Root_length_Day_3	0.231348	0.148572
292_Root_length_Day_4	0.122175	0.144176
293_Root_length_Day_5	0.180857	0.144853
Average_root_width_avg	0.910269	0.122998
Average_root_width_day001	8.0255e-06	0.110733
Average_root_width_day002	0.210601	0.524821
Average_root_width_day003	0.938185	0.0755426
Average_root_width_day004	0.839304	0.224178
Average_root_width_day005	0.891012	0.125852
Euclidian_length_day001	0.800389	0.146653
Euclidian_length_day002	0.829405	0.182029
Euclidian_length_day003	0.737647	0.229152
Euclidian_length_day004	0.749657	0.29394
Euclidian_length_day005	0.742613	0.339277
Relative_root_growth_rate_avg	0.967302	0.0307517
Relative_root_growth_rate_day001.day002	8.0255e-06	0.116152
Relative_root_growth_rate_day002.day003	0.908415	0.0854925
Relative_root_growth_rate_day003.day004	0.938989	0.0714474
Relative_root_growth_rate_day004.day005	0.971844	0.0229614
Root_angle_avg	0.999988	0.000452217
Root_angle_day001	8.0255e-06	0.682539
Root_angle_day002	0.254098	0.354244
Root_angle_day003	0.21012	0.293373
Root_angle_day004	0.261465	0.258326
Root_angle_day005	0.304398	0.285097
Root_directional_equivalent_avg	0.258781	0.25272
Root_directional_equivalent_day001	0.138641	0.148975
Root_directional_equivalent_day002	0.344969	0.337052
Root_directional_equivalent_day003	0.261523	0.244474
Root_directional_equivalent_day004	0.310024	0.263637
Root_directional_equivalent_day005	0.361861	0.347473
Root_growth_rate_avg	8.0255e-06	0.225272
Root_growth_rate_day001.day002	0.551526	0.32587
Root_growth_rate_day002.day003	8.0255e-06	0.140014
Root_growth_rate_day003.day004	8.0255e-06	0.224793
Root_growth_rate_day004.day005	0.120549	0.25622
Root_horizontal_index_avg	0.584548	0.368627
Root_horizontal_index_day001	0.662307	0.169684
Root_horizontal_index_day002	0.612536	0.396568
Root_horizontal_index_day003	0.293323	0.235381
Root_horizontal_index_day004	0.402942	0.283411
Root_horizontal_index_day005	0.641563	0.400958
Root_linearity_avg	0.0335946	0.117043
Root_linearity_day001	0.007583	0.166869
Root_linearity_day002	0.999988	0.000489684
Root_linearity_day003	8.0255e-06	0.169048
Root_linearity_day004	0.0143245	0.0964053
Root_linearity_day005	0.12036	0.28751
Root_tortuosity_avg	0.425819	0.468376
Root_tortuosity_day001	8.0255e-06	0.111203
Root_tortuosity_day002	0.392074	0.372289
Root_tortuosity_day003	0.643934	0.234607
Root_tortuosity_day004	0.908587	0.0794574
Root_tortuosity_day005	0.828824	0.164789
Root_vertical_index_avg	0.83552	0.173969
Root_vertical_index_day001	0.80507	0.14334
Root_vertical_index_day002	0.810629	0.182952
Root_vertical_index_day003	0.734241	0.234446
Root_vertical_index_day004	0.718839	0.32258
Root_vertical_index_day005	0.680199	0.403826
Root_width_100_avg	0.899087	0.143821
Root_width_100_day001	0.701552	0.148882
Root_width_100_day002	0.924547	0.0962096
Root_width_100_day003	0.891797	0.107252
Root_width_100_day004	0.612776	0.309312
Root_width_100_day005	0.381931	0.283034
Root_width_20_avg	0.485399	0.422486
Root_width_20_day001	8.0255e-06	0.103988
Root_width_20_day002	0.241987	0.54871
Root_width_20_day003	0.484527	0.452376
Root_width_20_day004	0.930672	0.105971
Root_width_20_day005	0.999988	0.000648308
Root_width_40_avg	0.717043	0.322757
Root_width_40_day001	8.0255e-06	0.094694
Root_width_40_day002	0.0108756	0.2511
Root_width_40_day003	0.982745	0.0241139
Root_width_40_day004	0.821759	0.183154
Root_width_40_day005	0.877738	0.120907
Root_width_60_avg	0.850784	0.140535
Root_width_60_day001	8.0255e-06	0.205161
Root_width_60_day002	0.729195	0.37574
Root_width_60_day003	0.877495	0.0995341
Root_width_60_day004	0.751117	0.299386
Root_width_60_day005	0.839938	0.160476
Root_width_80_avg	0.999988	0.000309768
Root_width_80_day001	0.940255	0.0624631
Root_width_80_day002	0.892058	0.14171
Root_width_80_day003	0.753244	0.184327
Root_width_80_day004	0.853722	0.274703
Root_width_80_day005	0.456349	0.244198
Total_length_day001	0.798946	0.134276
Total_length_day002	0.789215	0.183553
Total_length_day003	0.705081	0.228355
Total_length_day004	0.725901	0.276741
Total_length_day005	0.682885	0.33014
286_Mo98	0.23488	0.268036
282_Zn66	0.969716	0.0648637
Xyloside_percentage	0.999987	0.000239189
PC1	6.25557e-06	0.38496
PC2	0.113824	0.361051
LD12_peak	8.54415e-06	0.372793
LD12_period	0.149856	0.339978
LD14_peak	8.54415e-06	0.573223
LD14_period	8.54415e-06	0.441703
LD16_peak	8.54415e-06	0.491291
LD16_period	8.54415e-06	0.281809
SD10_peak	8.54415e-06	0.904547
SD10_period	8.54415e-06	0.567554
SD8_peak	8.54415e-06	0.272958
SD8_period	0.16668	0.392553
Mechnical_PPV_infection_Hampes_Rosettes	0.198118	0.482123
ile_ileleuval	8.54129e-06	0.159642
ile_t	0.332078	0.387224
ile	0.453334	0.294985
leu_ileleuval	0.14855	0.232201
leu_t	0.216977	0.258621
leu	0.315919	0.269778
val_ileleuval	0.104218	0.249524
val_t	0.999988	0.00114358
