Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT4G00990	2125221	histone H3-K9 demethylation	proc	IEA
AT4G00990	2125221	response to bacterium	proc	IEP
AT4G00990	2125221	chromatin DNA binding	func	IBA
AT4G00990	2125221	histone H3K9 demethylase activity	func	IEA
AT4G01010	2125206	ion channel activity	func	IEA
AT4G01010	2125206	response to abscisic acid	proc	IEA
AT4G01010	2125206	hormone-mediated signaling pathway	proc	IEA
AT4G01010	2125206	response to water	proc	IEA
AT4G01040	2124988	chitin binding	func	IEA
AT4G01040	2124988	oligosaccharide binding	func	IBA
AT4G01040	2124988	carbohydrate metabolic process	proc	IEA
AT4G01140	2125003	molecular_function_unknown	func	ND
AT4G02710	2132348	response to light stimulus	proc	IEA
AT4G02710	2132348	actin filament binding	func	IBA
AT4G02710	2132348	RNA metabolic process	proc	IEA
AT4G02730	2140215	histone binding	func	IBA
AT4G02730	2140215	histone H3-K4 methylation	proc	IBA
AT4G02760	2140245	molecular_function_unknown	func	ND
AT4G02760	2140245	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	proc	IBA
AT4G03210	2125437	xyloglucan metabolic process	proc	IEA
AT4G03210	2125437	plant-type secondary cell wall biogenesis	proc	IGI
AT4G03210	2125437	cell wall biogenesis	proc	IEA
AT4G03210	2125437	xylem development	proc	IGI
AT4G03210	2125437	xyloglucan:xyloglucosyl transferase activity	func	ISS
AT4G03210	2125437	hydrolase activity, hydrolyzing O-glycosyl compounds	func	IEA
AT4G03210	2125437	xyloglucan:xyloglucosyl transferase activity	func	IEA
AT4G11240	2128258	protein serine/threonine phosphatase activity	func	ISS
AT4G11240	2128258	protein serine/threonine phosphatase activity	func	IDA
AT4G11240	2128258	protein dephosphorylation	proc	ISS
AT4G11240	2128258	RNA metabolic process	proc	IEA
AT4G11240	2128258	myosin phosphatase activity	func	IEA
AT4G11240	2128258	macromolecule modification	proc	IEA
AT4G11240	2128258	protein serine/threonine phosphatase activity	func	IBA
AT4G11745	1005716195	biological_process_unknown	proc	ND
AT4G11745	1005716195	molecular_function_unknown	func	ND
AT4G11750	2139687	biological_process_unknown	proc	ND
AT4G11750	2139687	molecular_function_unknown	func	ND
AT4G11770	2139722	biological_process_unknown	proc	ND
AT4G11770	2139722	molecular_function_unknown	func	ND
AT4G11820	2137015	hydroxymethylglutaryl-CoA synthase activity	func	IGI
AT4G11820	2137015	farnesyl diphosphate biosynthetic process, mevalonate pathway	proc	IBA
AT4G11820	2137015	isopentenyl diphosphate biosynthetic process, mevalonate pathway	proc	TAS
AT4G11820	2137015	hydroxymethylglutaryl-CoA synthase activity	func	ISS
AT4G11820	2137015	acetyl-CoA metabolic process	proc	IBA
AT4G11820	2137015	hydroxymethylglutaryl-CoA synthase activity	func	IBA
AT4G11850	2137045	membrane lipid metabolic process	proc	IMP
AT4G11850	2137045	embryo development ending in seed dormancy	proc	IMP
AT4G11850	2137045	innate immune response	proc	IDA
AT4G11850	2137045	phospholipase D activity	func	ISS
AT4G11850	2137045	phospholipid catabolic process	proc	IBA
AT4G11850	2137045	protein binding	func	IPI
AT4G11850	2137045	defense response to bacterium	proc	IGI
AT4G11850	2137045	phosphatidylcholine metabolic process	proc	IEA
AT4G11850	2137045	phosphatidylinositol-4,5-bisphosphate binding	func	IDA
AT4G11850	2137045	response to oxidative stress	proc	IMP
AT4G11850	2137045	response to aluminum ion	proc	IMP
AT4G11850	2137045	N-acylphosphatidylethanolamine-specific phospholipase D activity	func	IEA
AT4G11850	2137045	protein binding	func	IPI
AT4G11850	2137045	calcium ion binding	func	IEA
AT4G11850	2137045	phospholipase D activity	func	IDA
AT4G11850	2137045	phospholipase D activity	func	IBA
AT5G10140	2184118	protein binding	func	IPI
AT5G10140	2184118	DNA-binding transcription factor activity	func	IEA
