,rFitness_mhi,rFitness_mhp,rFitness_mli,rFitness_mlp,rFitness_thi,rFitness_thp,rFitness_tli,rFitness_tlp,rSurvival_fruit_mhi,rSurvival_fruit_mhp,rSurvival_fruit_mli,rSurvival_fruit_mlp,rSurvival_fruit_thi,rSurvival_fruit_thp,rSurvival_fruit_tli,rSurvival_fruit_tlp,rSeeds_mhi,rSeeds_mhp,rSeeds_mli,rSeeds_mlp,rSeeds_thi,rSeeds_thp,rSeeds_tli,rSeeds_tlp
X16S_OTU1076_1077,1.0393124543857,0.987754806139166,0.616842732413563,0.278787528102141,1.06204559304081,1.00582555318251,0.965061638637394,0.688255572229962,1.07980222489893,1.03917816947215,0.866757444193863,0.413290156100984,1.10516051187021,1.0352125843682,0.956072026489085,0.761259617422539,0.926064361891038,1.04721373340922,0.206038954270804,-0.0884210634162039,1.05764459142319,0.934322611774176,0.51288193286518,0.318633739995784
X16S_OTU11_12,-0.403053151424673,-0.355115423347667,-0.376519629931811,-0.228332337457437,-0.377051042537449,-0.383100711655085,-0.369569023302728,-0.128092572556604,-0.403966780567576,-0.36185444640654,-0.41455281787679,-0.37642268257894,-0.377047590965241,-0.420851591275577,-0.409521787652034,-0.122098120735445,-0.336779005610436,-0.397891390921539,-0.176710671123477,-0.115264456700765,-0.397649594343023,-0.31212321011594,-0.290868483298107,0.0597937082485249
X16S_OTU110_111,-0.602362931471633,-0.483840058724202,-0.436010563297832,-0.261710877471735,-0.548047590120923,-0.50364938102952,-0.452670380233492,-0.250146891041574,-0.551885491196819,-0.485583413251673,-0.478509804550575,-0.409365486486028,-0.576789651527198,-0.47790811954891,-0.484907456985834,-0.253636328809674,-0.508809013539598,-0.56487552986915,-0.216551018740444,-0.193545211489055,-0.509871926349504,-0.505884841372976,-0.456245827172101,-0.14604044810003
X16S_OTU116_117,-0.0513577234427399,-0.122636792586125,0.00232223134006154,-0.0165831246454212,-0.128650608143456,-0.147750172968739,-0.0408729493608422,0.00285071209506211,-0.0772069210888558,-0.105766599675311,-0.00884790325784246,-0.00909124407152383,-0.0812223998226323,-0.0957091609862063,-0.0451689249248394,0.00751560582115365,-0.0546691232673606,-0.0913603869549506,-0.0217757664035187,-0.0475046452754341,-0.136923037777928,-0.128174044417898,-0.0643564956795086,-0.0639784635789177
X16S_OTU12_13,-0.337786566405462,-0.324631829337701,-0.405032798841347,-0.238377209706874,-0.291931705762046,-0.295926217349845,-0.24180014213856,-0.172885735340765,-0.308503484833568,-0.281531193177451,-0.282135099005804,-0.203261870165802,-0.30050274437432,-0.307860947030393,-0.254310080561755,-0.18138144472632,-0.300066347404656,-0.363038563772205,-0.198753861163721,-0.118997266568381,-0.295771486063164,-0.269752100631806,-0.0206904883930906,0.182916726759301
X16S_OTU125_126,0.800578512813067,0.738225911145132,0.572857178964492,0.395063276659688,0.796991307666084,0.726230073583674,0.630883034530345,0.400742314443502,0.813285951829305,0.737220397673958,0.654039019666738,0.380498098308742,0.811196455352542,0.721519279932688,0.652954501509194,0.453452543517585,0.678949614767462,0.780773069101544,0.457022111037291,0.135022342492808,0.76955364096207,0.713680242197151,0.528802653541656,0.343011727456449
X16S_OTU129_130,0.693370260565379,0.71408185801061,0.32389235173943,0.412710972686907,0.644473415970288,0.623490351641731,0.683518484369203,0.565429649083309,0.702956185001633,0.774343215618699,0.419528171574278,0.315583498165742,0.695592642127857,0.647056862514327,0.674686134844385,0.619533650258215,0.635417303024617,0.659611080088725,-0.115243651549369,0.0867171807892095,0.691678604466204,0.624605823760775,0.289999937540942,0.167380298368667
X16S_OTU15_16,-0.443098549492982,-0.43824578043122,-0.369121925223653,-0.113114660760492,-0.343266903224293,-0.325482179159978,-0.274627250899271,-0.0777919763048959,-0.419708921346839,-0.366403012167385,-0.265492338622251,-0.267710167314554,-0.3480792590303,-0.365623112870754,-0.249021190835688,-0.069642661250691,-0.352817279530874,-0.469625296867423,-0.15909592634408,-0.0687500265084309,-0.378632987930127,-0.307320130790154,-0.317120170728566,0.385184231496387
X16S_OTU151_152,0.0409052773113219,-0.0391752670233412,-0.0341568394851148,-0.070042027339781,-0.0108532401423908,-0.106831801529616,-0.0774061084370094,0.155214665746362,0.0294585483568306,0.0167553996237404,0.0500200813653428,-0.0129402661275208,0.0250629971191999,-0.0602283260424582,-0.0684583590328462,0.0939328158243327,0.0127003577028758,-0.0503684664988095,0.0284094879873134,-0.0457834022992864,-0.0300661803184274,-0.0346467038226444,0.0260298304671591,0.368134908490545
X16S_OTU154_155,0.100962849407851,0.0750530499130594,0.209655479933744,-0.0882985490386302,0.0872722440224269,0.115361958615101,0.126308315588791,0.0331711178604611,0.107701651324409,0.123003691559462,0.234117252332155,-0.0911023213138292,0.164188567867086,0.0891340067545622,0.112789244185776,0.0271791394764904,0.0867394947862191,0.0581567826529272,0.201459532988537,-0.167463943102545,0.0221111979313466,0.130135482376454,0.0352693351387429,-0.0909273924488557
X16S_OTU157_158,0.492217548879038,0.466499478673805,0.323509859197556,0.186144996688043,0.436958865488651,0.347531724700433,0.467209792204098,0.313424192714043,0.50833143706669,0.46578149127123,0.37470069063916,0.255665543495949,0.5084788201825,0.382288814530797,0.461635588506719,0.411889466933056,0.415195026947761,0.506189845429314,-0.0299449346782901,0.0370417095325376,0.428015663764174,0.408655647725589,0.418064096690573,0.144974476745719
X16S_OTU159_160,-0.136591390655957,-0.040584447924948,-0.13012472753845,0.0639465738077384,-0.123500927275757,-0.0854916236899737,-0.162964681292052,-0.0954715343318646,-0.146406605033349,-0.0743615234325449,-0.127359108450137,0.08897795129907,-0.169224950816453,-0.10898577038647,-0.151290540377868,-0.102158240727841,-0.113549671445673,-0.119520674716129,-0.0933958745589533,0.202117008368677,-0.0909841429142433,-0.0804272266737668,-0.173303064949038,-0.0639006383372457
X16S_OTU17_18,-0.191904880968935,-0.204977450129736,-0.382927418475486,-0.190770608738865,-0.205798288679722,-0.213843159784022,-0.121161604277972,-0.252951938172991,-0.210353176517861,-0.198404081619087,-0.291184635873697,-0.0975214066727826,-0.207863331545213,-0.210088740445521,-0.116153131093534,-0.304396362540594,-0.179608480460761,-0.222478427214518,-0.198279742418565,-0.0459762348479638,-0.214409680035983,-0.199188981964617,0.0803589323166894,0.072091930884749
X16S_OTU1782_1783,-0.272366747288584,-0.287957429761045,-0.167287703791949,-0.347212697940621,-0.189145730623978,-0.141002287482446,-0.256246524477898,-0.253221528027302,-0.279262013445858,-0.287901520816893,-0.096952836628264,-0.298113124210147,-0.247898387500557,-0.140516338873676,-0.262430255705174,-0.246555616576281,-0.206326203581269,-0.225968361369476,-0.0286413614247605,-0.327117918585795,-0.176553326643388,-0.218079150517845,-0.298710624504574,0.0334260389408275
