pheno	MSE	NRMSE
X136_DTF_spain_2008_2nd_experiment	208.534086256258	0.0837952348181175
X137_YieldMainEffect2009	0.00420008116841777	0.14878768725351
X138_YieldPlantingSummerLocSweden2009	0.00786716666682584	0.127486280658882
X139_Yield_sweden_2009_1st_experiment	0.00657511042637587	0.163977865756277
X140_DTF_sweden_2009_2nd_experiment	267.953096805571	0.107339494732861
X141_DTF_sweden_2008_2nd_experiment	344.242247745409	0.0994840021620597
D2_entrance_per	563.628087578407	0.242253599120422
GEMINATION_4D_per	614.035049530178	0.25745174668671
GERMINATION_1D_per	234.250041637113	0.313953420004905
Direction_index	0.00208132725482009	0.147881898466749
Root_angle	12.4934944259702	0.165423960270188
NC_0557	0.0883403722196372	0.1613731914147
NC_0570	1.17393431393449	0.141073848989884
NC_0596	3.29698420219987	0.155660030725594
NC_0662	0.213550834973251	0.139992661130635
NC_0674	0.972756604664843	0.137202152909681
NC_0704	2.59671060056696	0.236400846031832
NC_0705	5.91671447256577	0.139377368916744
NC_0734	1.13233905788901	0.158881784837086
NC_0790	5.25683706663419	0.218092172602476
NC_0928	2.046037321381	0.160064311219686
NC_1008	0.152839554481045	0.162777385766224
NC_1036	1.24628445978193	0.142943331499144
NC_1057	3.25767635816495	0.149396038191659
NC_1092	0.206297601237645	0.142035012787539
NC_1111	10.7779949313416	0.178689478634186
NC_1125	1.5187610445508	0.149157310059714
NC_1142	7.54958660965529	0.161747028815704
NC_1201	7.73736389776758	0.167289751177624
NC_1213	1.32767362261293	0.147525350446175
NC_1260	12.0880234233585	0.175577551591856
NC_1295	11.2346399700124	0.266821838763753
NC_1334	4.04629041583039	0.143211103227372
NC_1379	0.947569058435407	0.177657190021527
NC_1383	0.758260394531729	0.171714698061719
NC_1393	5.32220325830277	0.184556819920196
NC_1422	1.46517498655003	0.189495017758973
NC_1427	2.08172746921644	0.164952469855955
NC_1433	0.777562374312982	0.144831800793376
NC_1474	0.671681915150383	0.143515008366825
NC_1542	2.1372637247581	0.232396139062764
NC_1548	6.3286797205036	0.195686184647714
NC_1971	12.8315523427291	0.203223141724773
NC_2426	0.704872737691175	0.172490860555757
PC_0435	0.459743340494554	0.171808184663631
PC_0441	0.0994321838466152	0.145414532589036
PC_0446	0.270720194838627	0.155772563845732
PC_0448	0.800619985021963	0.151455483938152
PC_0451	1.01524468940802	0.212565760234332
PC_0454	2.73552678641129	0.217439429419145
PC_0455	8.95125653843655	0.235575258400748
PC_0490	2.84826182025429	0.149729096127397
PC_0499	0.133762408476526	0.168850809862481
PC_0500	0.126040937161027	0.147657263872382
PC_0506	0.125136158233671	0.198396161405092
PC_0512	0.588822031389247	0.127234855336503
PC_0526	3.23219435988052	0.170664767684103
PC_0544	0.716286111823487	0.12152527921358
PC_0546	0.540654195978824	0.172388420475569
PC_0552	0.207589737652413	0.177449895214768
PC_0558	0.0563135253515734	0.147006132662442
PC_0570	0.184174287120652	0.176232187404347
PC_0601	0.208771871891548	0.136811883563761
PC_0615	2.08901981715691	0.165825605176097
PC_0626	0.604636520156416	0.175676615857375
PC_0631	1.4294139864595	0.209638291780216
PC_0633	1.21952104331031	0.19978938461785
PC_0635	0.386884170517624	0.179518511564447
PC_0638	1.45758572409274	0.172495452583859
PC_0642	9.83228361533124	0.298489784601569
PC_0658	0.140364278950696	0.157822201879187
PC_0673	0.44021056715891	0.172428170386647
PC_0684	0.692187372551462	0.151888028648015
PC_0688	0.724360957669159	0.177699506039961
