paper	phenotype	numaccessions	phenotypecategory	stressstrategy	pve	rho	raw_var	imp_var	rawquant_var	impquant_var	n
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_C8_Aliphatic_2008	90	Metabolite	Tolerance	0.945502	0.641232	0.493802668475803	0.0486046550875541	0.995706096077534	0.999255275848693	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Hydroxyalkenyl_Aliphatic_2008	90	Metabolite	Tolerance	0.999983	0.999348	11.2655563093623	0.816582317898935	0.536810297282426	0.974710007203075	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Hydroxyalkyl_Aliphatic_2008	90	Metabolite	Tolerance	0.999983	0.951663	6.41066494798734	0.483779133796735	0.433783421576089	0.968680980746565	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Indolic_Glucosinolate_2008	90	Metabolite	Tolerance	0.997062	0.68453	0.183964405246495	0.012487239865868	0.995405528556219	0.998860016218233	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Indolic_Glucosinolate_with_4_hydroxylation_2008	90	Metabolite	Tolerance	0.992084	0.662343	0.0138816824966079	0.00100061492894825	0.992849947945122	0.999004626413871	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Total_Methylsulfinyl_Aliphatic_2008	90	Metabolite	Tolerance	0.984688	0.63189	1.02664016282225	0.0836323147862232	0.995838872754546	0.994916878651582	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	Unknown_Alkenyl_2008	90	Metabolite	Tolerance	0.999983	0.999445	0.00358805970149254	0.00026668037487666	0.453208249411936	0.765026193322775	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	X_R_2_hydroxy_but_3_enyl_2008	90	Metabolite	Tolerance	0.999983	0.999341	6.57150949796472	0.487357743310382	0.52175084526279	0.97146228893179	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	X_S_2_hydroxy_but_3_enyl_2008	90	Metabolite	Tolerance	0.999983	0.999371	0.629575938489371	0.0487874808002238	0.521653568724834	0.972236101900067	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	X3_hydroxypropyl_2008	90	Metabolite	Tolerance	0.999983	0.951663	6.41066494798734	0.499110120183484	0.433783421576089	0.864850579891925	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	X3_methylsulfinylpropyl_2008	90	Metabolite	Tolerance	0.999983	0.991172	0.585238172772501	0.0481954196285108	0.70093391895237	0.974537569098438	67
Kliebenstein_Chan_Genetics_2010_PID_19737743	X3_methylthiopropyl_2008	90	Metabolite	Tolerance	0.999983	0.937673	0.00728358208955224	0.00054380493617385	0.310468870113482	0.908802481159632	67
