Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT4G00730	2127008	AT4G00730	root development	GO:0048364	18902	proc	multicellular organism development | anatomical structure development	IMP	Publication:1358|PMID:10402424  	TAIR	02/28/2005 00:00:00
AT4G00730	3703487	AT4G00730.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00730	2127008	AT4G00730	DNA-binding transcription factor activity	GO:0003700	4449	func	DNA-binding transcription factor activity	ISS	Publication:1345963|PMID:11118137  	TAIR	06/06/2003 00:00:00
AT4G00740	2117733	AT4G00740	S-adenosylmethionine-dependent methyltransferase activity	GO:0008757	1241	func	transferase activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00740	2117733	AT4G00740	endosome	GO:0005768	272	comp	endosome	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00740	2117732	AT4G00740.1	Golgi trans cisterna	GO:0000138	56	comp	other intracellular components | Golgi apparatus	HDA	Publication:501785785|PMID:31266899  		08/16/2019 00:00:00
AT4G00740	2117733	AT4G00740	pectin biosynthetic process	GO:0045489	12231	proc	other metabolic processes | carbohydrate metabolic process | biosynthetic process	IEA	AnalysisReference:501757242		11/22/2022 00:00:00
AT4G00740	2117733	AT4G00740	Golgi membrane	GO:0000139	54	comp	other membranes | other intracellular components | Golgi apparatus	IDA	Publication:501743585|PMID:21725030  		06/18/2020 00:00:00
AT4G00740	2117732	AT4G00740.1	membrane	GO:0016020	453	comp	other membranes	IDA	Publication:501743585|PMID:21725030  	TAIR	03/22/2013 00:00:00
AT4G00740	2117732	AT4G00740.1	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501747810|PMID:22430844  		05/12/2021 00:00:00
AT4G00740	2117733	AT4G00740	mitochondrion	GO:0005739	486	comp	mitochondrion	HDA	Publication:501761766|PMID:25293756  		04/04/2019 00:00:00
AT4G00740	2117733	AT4G00740	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501761078|PMID:25122472  		05/10/2021 00:00:00
AT4G00740	2117733	AT4G00740	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501718909|PMID:16618929  	TAIR	05/12/2021 00:00:00
AT4G00740	6532561184	AT4G00740.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00740	2117733	AT4G00740	trans-Golgi network	GO:0005802	57	comp	Golgi apparatus | other intracellular components	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00740	2117732	AT4G00740.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00740	2117733	AT4G00740	cell wall pectin metabolic process	GO:0052546	26421	proc	carbohydrate metabolic process | other metabolic processes | other cellular processes | cellular component organization	IMP	Publication:501743585|PMID:21725030  	TAIR	08/04/2011 00:00:00
AT4G00740	2117733	AT4G00740	cytoplasm	GO:0005737	231	comp	cytoplasm	IBA	Communication:501741973		04/20/2022 00:00:00
AT4G00740	2117733	AT4G00740	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00740	2117733	AT4G00740	cell wall biogenesis	GO:0042546	13564	proc	other cellular processes	IMP	Publication:501743585|PMID:21725030  		03/31/2021 00:00:00
AT4G00740	2117733	AT4G00740	S-adenosylmethionine-dependent methyltransferase activity	GO:0008757	1241	func	transferase activity	IDA	Publication:501743585|PMID:21725030  	TAIR	08/04/2011 00:00:00
AT4G00990	2125221	AT4G00990	chromatin	GO:0000785	14233	comp	other intracellular components	IBA	Communication:501741973		09/29/2022 00:00:00
AT4G00990	2125221	AT4G00990	cytoplasm	GO:0005737	231	comp	cytoplasm	IDA	Publication:501776082|PMID:28650521  		05/04/2022 00:00:00
AT4G00990	6532557705	AT4G00990.3	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00990	2125221	AT4G00990	histone H3K9 demethylase activity	GO:0032454	25449	func	catalytic activity	IDA	Publication:501776082|PMID:28650521  	TAIR	08/15/2017 00:00:00
AT4G00990	2125221	AT4G00990	epigenetic regulation of gene expression	GO:0040029	10745	proc	regulation of gene expression, epigenetic	IMP	Publication:501776082|PMID:28650521  		05/04/2022 00:00:00
AT4G00990	6532559156	AT4G00990.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00990	2125221	AT4G00990	regulation of stomatal closure	GO:0090333	35355	proc	other cellular processes	IMP	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone H3-K9 demethylation	GO:0033169	27052	proc	cellular component organization | other metabolic processes	IDA	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	transcription coregulator activity	GO:0003712	4446	func	transcription regulator activity	IBA	Communication:501741973		04/20/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone deacetylase complex	GO:0000118	353	comp	nucleus | nucleoplasm	IBA	Communication:501741973		04/02/2021 00:00:00
AT4G00990	2125221	AT4G00990	histone H3-K9 demethylation	GO:0033169	27052	proc	other metabolic processes | cellular component organization	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
